title,content,label
Informasi palsu minyak goreng gratis untuk semua warga,Unggahan viral menyebut semua warga bisa ambil minyak goreng gratis dengan membawa KTP ke lokasi tertentu.,FAKE
Klaim obat herbal sembuhkan semua penyakit kronis,Promosi menyesatkan mengklaim obat herbal dapat menyembuhkan semua penyakit kronis hanya dalam tiga hari.,FAKE
Pesan berantai bilang ATM akan menelan kartu tertentu,Pesan tanpa sumber menyebut mesin ATM akan menelan kartu dari bank tertentu mulai tengah malam.,FAKE
Kabar bohong tarif listrik naik tiga kali lipat,Gambar editan menyebar dan menuduh tarif listrik naik drastis padahal tidak ada pengumuman resmi.,FAKE
Video editan klaim pejabat akui kecurangan,Potongan video editan dipakai untuk menuduh pejabat mengakui kecurangan padahal isi aslinya berbeda.,FAKE
Beredar isu ponsel tertentu meledak setelah update,Postingan anonim menakut-nakuti pengguna dengan klaim ponsel meledak setelah pembaruan sistem tanpa bukti.,FAKE
Informasi palsu garam bisa ganti vaksin,Konten hoax menyebut konsumsi garam tertentu cukup untuk mengganti vaksin dan pencegahan penyakit.,FAKE
Akun anonim sebar kabar bank bangkrut besok pagi,Kabar bohong menyebut sebuah bank bangkrut dan meminta nasabah menarik seluruh uang malam ini.,FAKE
Tautan palsu undangan kerja kementerian,Tautan palsu mengatasnamakan kementerian menyebar lowongan kerja mendadak untuk mencuri data pelamar.,FAKE
Berita palsu hujan meteor akan hancurkan kota,Artikel sensasional menyebut hujan meteor akan menghancurkan kota tertentu padahal tidak ada laporan astronomi.,FAKE
Pesan palsu bensin gratis untuk pengguna aplikasi tertentu,Pesan viral menawarkan bensin gratis jika pengguna mengisi formulir mencurigakan dan membagikannya ke teman.,FAKE
Klaim foto lama sebagai bukti banjir terbaru,Foto lama dari negara lain diunggah ulang seolah menjadi bukti banjir terbaru di Indonesia.,FAKE
Narasi bohong air kemasan tercemar massal,Unggahan viral menuduh semua air kemasan merek tertentu tercemar tanpa hasil uji laboratorium.,FAKE
Hoax pajak motor dihapus total mulai besok,Pesan berantai menyebut pajak motor dihapus total mulai besok walau tidak ada aturan resmi.,FAKE
Kabar palsu aplikasi chat disadap otomatis,Konten menyesatkan mengklaim semua percakapan di aplikasi chat disadap otomatis oleh pihak asing.,FAKE
Isu bohong beras plastik kembali beredar,Klaim beras plastik kembali beredar menyebar luas tanpa bukti laboratorium maupun penjelasan otoritas.,FAKE
